,paragraph
23,Article 6 Substantial contribution to climate change mitigation 1 An economic activity shall be considered to contribute substantially to climate change mitigation where that activity substantially contributes to the stabilization of greenhouse gas concentrations in the atmosphere at a level which prevents dangerous anthropogenic interference with the climate system by avoiding or reducing greenhouse gas emissions or enhancing greenhouse gas removals through any of the following means including through process or product innovation consistent with the long term temperature goal of the Paris Agreement a generating transmitting storing distributing or using renewable energy in line with Directive EU 20182001 including through using innovative technology with a potential for significant future savings or through necessary reinforcement or extension of the grid b improving energy efficiency except for power generation activities that are referred to in Article 142a c increasing clean or climateneutral mobility d switching to the use of sustainably sourced renewable materials e increasing the use of environmentally safe carbon capture and utilisation CCU and carbon capture and storage CCS technologies that deliver a net reduction in greenhouse gas emissions fa strengthening land carbon sinks including through avoided deforestation and forest degradation restoration of forests sustainable management and restoration of croplands grasslands and wetlands afforestation and regenerative agriculture g establishing energy infrastructure required for enabling the decarbonisation of energy systems h producing clean and efficient fuels from renewable or carbonneutral sources i enabling any of the above in accordance with Article 11a
24,1a For the purposes of paragraph 1 an economic activity for which there is no technologically and economically feasible low carbon alternative shall be considered to contribute substantially to climate change mitigation as it supports the transition to a climateneutral economy consistent with a pathway to limit the temperature increase to 15 degrees Celsius above preindustrial levels including by phasing out greenhouse gas emissions in particular from solid fossil fuels where that activity I II III
25,has greenhouse gas emission levels that correspond to the best performance in the sector or industry does not hamper the development and deployment of lowcarbon alternatives and does not lead to a lockin in carbonintensive assets considering the economic lifetime of those assets
26,In addition the EU has brought forward a proposal for a Climate Law requiring a climate neutral economy by 2050 as well as proposals for interim GHG emissions reductions targets of 50  55 by 2030 TEGs recommendations are aligned with these goals
27,The following table has been updated since the June 2019 report to show how to consider different types of investment and finance as Taxonomy eligible The update is to more clearly align with the Taxonomy Regulation which clearly identifies enabling activities reflecting the TEG recommendation We now refer to the two activity types as either An activity which has a substantial contribution due to its own performance  referring to the operations within the activity reflecting the activity boundary for the technical screening criteria or an Activity Enabling Mitigation in another economic activity This table also demonstrates how activities that contribute to transition Transition Activities in the Taxonomy Regulation are still expected to substantially contribute to climate mitigation objectives and meet Taxonomy thresholds This was identified as the third activity type in the June 2019 TEG report
28,emissions7 They are consistent with a broader global consensus and reflect the priority sectors identified for realeconomy reform under the European Green Deal 8 On this basis the TEG recommends that the Platform on Sustainable Finance prioritise full evaluation of existing sectors selected rather than the immediate expansion of the sectors covered However the Platform on Sustainable Finance should continue to monitor sectoral emissions in case of material changes in the underlying data The TEG also recognises that some important activities are not captured by the NACE codes For example urban and regional planning for low carbon development including avoided journeys support for lower carbon personal choices such as vegetarian diets and investments to maintain public natural capital such as natural forests and wetlands Further work is needed to include these in the Taxonomy in future The activities identified by the TEG using this methodology reflect the majority  but not all  of the economic activities which can avoid significant harm or substantially contribute to climate change mitigation In some cases the TEG was not able to fully evaluate the potential contribution of a subsector with the resources available in the timeframe available The TEG therefore recommends that the Platform on Sustainable Finance undertake further evaluation of activities within the existing sectors with a particular focus on
29,TEG also recommends that the Platform on Sustainable Finance continues the work on inclusion of enabling activities within other sectors in the Taxonomy Recognition of enabling activities is an important way to encourage research development innovation and resulting substantial GHG reductions in economic activities and encourage flows of finance to these activities
30,7 A minimum of 93 though the true figure is likely to be higher as buildings do not feature as a separate NACE code and constitute 36 of EU emissions 8 httpseceuropaeuinfostrategypriorities20192024europeangreendeal_en
31,2 SUBSTANTIAL CONTRIBUTION TO CLIMATE CHANGE ADAPTATION The methodology for identifying activities that provide a substantial contribution to adaptation has not changed since the publication of the taxonomy report in June 2019 The substantial contribution criteria for adaptation have not changed in nature but have been made consistent with the final regulation proposals of December 2019
32,The proposed approach for an adaptation taxonomy recognises that adaptation is context and locationspecific and requires the use of a processbased approach to determine if an activity contributes to adaptation and broader systems climate resilience The following twostep process aims to demonstrate that an activity contributes to a substantial reduction of the negative effects of climate change a Assessing the expected negative physical effects of climate change on the underlying economic activity that is the focus of resiliencebuilding efforts drawing on robust evidence and leveraging appropriate climate information b Demonstrating how the economic activity will address the identified negative physical effects of climate change or will prevent an increase or shifting of these negative physical effects The assessment of the contribution of the activity will vary based on its scope asset corporate sector or market as well as spatial and temporal scale Moreover the proposed approach recognises that an adaptation activity may target an entity eg a corporation or a city andor a market sector or region Activitylevel adaptation aims at strengthening an asset or economic activity to withstand identified physical climate risks over its lifetime such as considering sealevel rise in the design of a bridge Systemic adaptation aims to actively reduce vulnerability and build resilience of a wider system or systems such as a community ecosystem or city The TEG recognises that climate change will affect all sectors of an economy and all sectors must adapt to its impacts globally As a result the adaptation taxonomy is a set of guiding principles and qualitative screening criteria which can be applied in any economic activity in any location It is therefore the view of the TEG that these criteria are globally relevant Differences between climate change adaptation and mitigation The contextspecific nature of adaptation means that it is not possible to produce a standalone and exhaustive list of activities that could be viewed as contributing to adaptation under all circumstances Instead of a list of adaptation activities a set of guiding principles and screening criteria is used to assess the potential contribution of an economic activity to adapt to climate change and increase climate resilience To aid users of the Taxonomy the TEG has also developed an indicative framework for classification of climaterelated hazards and a climate sensitivity matrix for specific economic activities see Classification of climaterelated hazards and Sectoral climate sensitivity matrices There are fundamental differences between climate change adaptation activities and mitigation activities For mitigation activities a onetonne reduction of CO2 emissions has the same impact regardless of where the mitigation activity takes place It is therefore possible to define lists of activities that are
33,deemed to support climate change mitigation Adaptation responds to physical climate risks that are mostly location and context specific For example there are in principle several engineering and nonengineering options available to a coastal city to respond to the risk resulting from increased sea level Responses will vary according to where the city is located its size the institutional and financial capacity of the city administration to deal with climate risk the technical and engineering expertise available the priority of the city the perception of the citizens and other factors The adaptation responses will benefit the city that adopts them and possibly the systems that depend or interact with the city Type of technical screening criteria The proposed approach is based on qualitative screening to identify activities that contribute to adaptation Qualitative screening criteria allow for a structured processbased approach to determine if an economic activity contributes to adaptation As measured baselines or accepted metrics for adaptation have not yet been developed an established methodology for defining quantitative screening criteria for adaptation and defined adaptation targets at the national sectoral or subnational level do not exist Even with the availability of methodologies targets or baselines quantitative screening criteria could exclude smallscale activities that may deliver significant climateresilience benefits in specific contexts The interaction of climate exposure resources and socioeconomic characteristics related to a specific economic activity will determine the nature and scale of adaptation that would be appropriate Scope of the Adaptation Taxonomy The Adaptation Taxonomy covers 68 economic activities which were originally selected for their potential to deliver a substantial contribution to climate change mitigation The application of the adaptation taxonomy beyond these activities is only constrained by the lack of availability of DNSH criteria for the other five environmental objectives covered by the Taxonomy A number of economic activities that might be important for climate adaptation are not yet included in the economic activities currently addressed in the Taxonomy The application of the taxonomy will be expanded to more economic activities as criteria for DNSH to other environmental objectives are developed In that respect the TEG recommends that the economic activities listed in the table below be prioritised for further work on DNSH criteria to the other environmental objectives because of their high potential for a substantial contribution to adaptation The TEG gave close consideration to the inclusion of two of these economic activities into the Taxonomy for this report namely research  development and Telecommunications computer programming and information The TEGs analysis on these issues can be found in the section titled Additional adaptation activities for further consideration However on due reflection the view was taken that further consideration of the DNSH criteria for these activities would be needed before this could be done The TEG also recommends that the platform review the proposed DNSH criteria for NonLife Insurance 6512 and Engineering Activities and Related Technical Consultancy Dedicated to Adaptation to Climate Change 7112 as a matter of priority These criteria are conservative in that they recognise service provision only to activities themselves eligible under the Taxonomy It may be preferable to simplify the criteria to increase coverage and enhance usability
34,Interpreting the regulation in respect of climate change adaptation The proposed regulation establishes a framework for understanding substantial contributions to climate change adaptation objectives This definition is broadly consistent with that provided by the Intergovernmental Panel on Climate Change9
35,9 The IPCC provides the following definition of adaptation in their 5th Assessment Report The process of adjustment to actual or expected climate and its effects In human systems adaptation seeks to moderate or avoid harm or exploit beneficial opportunities In some natural systems human intervention may facilitate adjustment to expected climate and its effects IPCC 2014 Climate Change 2014 Impacts Adaptation and Vulnerability Part B Regional Aspects Contribution of Working Group II to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change Barros VR CB Field DJ Dokken MD Mastrandrea KJ Mach TE Bilir M Chatterjee KL Ebi YO Estrada RC Genova B Girma ES Kissel AN Levy S MacCracken PR Mastrandrea and LL White eds Cambridge University Press Cambridge UK and New York NY USA
36,Article 7 Substantial contribution to climate change adaptation 1 An economic activity shall be considered to contribute substantially to climate change adaptation where a that economic activity includes adaptation solutions that either substantially reduce the risk of adverse impact or substantially reduces the adverse impact of the current and expected future climate on that economic activity itself without increasing the risk of an adverse impact on other people nature and assets or where b that economic activity provides adaptation solutions that in addition to the conditions laid down in Article 11a contribute substantially to preventing or reducing the risk of adverse impact or substantially reduces the adverse impact of the current and expected future climate on other people nature or assets without increasing the risk of an adverse impact on other people nature and assets
37,1a The adaptation solutions referred to in point a of paragraph 1 shall be assessed and prioritised using the best available climate projections and shall as a minimum prevent or reduce a The locationspecific and contextspecific adverse impact of climate change on the economic activity or b The adverse impact that climate change may have on the environment within which the economic activity takes place
38,The adverse impact of climate change considered for the development of the taxonomy include impact resulting from both chronic or slow onset climaterelated hazards such as average temperature increase and sea level rise and rapid or acute climate related hazards such as extreme rainfall storm surges flooding and heat waves In this report material physical climate risk is the risk of financial and nonfinancial losses occurring due to performance failures performance delays or incomplete performance of an economic activity resulting from climaterelated hazards With that in mind the adaptation taxonomy comprises two types of substantial contribution to adaptation objectives 1 Adapted activities an economic activity is adapted to all material physical climate risks identified for the economic activity to the extent possible and on a best effort basis andor 2 Activities enabling adaptation of an economic activity the activity reduces material physical climate risk in other economic activities andor addresses systemic barriers to adaptation and is itself also adapted to physical climate risks Both types of activities must also meet the criteria for Do No Significant Harm to other environmental objectives and comply with minimum social safeguards established for the Taxonomy Activities adapted to climate change and activities enabling adaptation of other economic activities provide a positive environmental impact by meeting a set of technical criteria for substantial contribution to adaptation and a
39,set of criteria for doing no harm to other environmental objectives whilst avoiding adverse impacts to people asset and nature and preventing a lockin in activities that undermine longterm environmental goals Figure 3 shows the decision tree to identify substantial contribution to adaptation objectives 10
40,This is consistent with the approach taken when identifying economic activities that substantially contribute to climate change mitigation in terms of mitigated activity and activity enabling mitigation The first set of economic activities contribute to adaptation via adopting solutions that ensure that the economic activity can perform well under a changing climate This contribution to adaptation usually occurs in economic activities that have a primary objective other than climate change adaptation For example a transmission line for the distribution of electricity to an urban area is made more climate resilient to the expected increase in temperature by installing conductors with operating limits at higher temperature thresholds Efforts to identify and reduce physical climate risks to an economic activity should be based on a best effort basis recognising that it is not possible to reduce physical climate risk to zero The characteristics of risks to an economic activity are increasingly difficult to predict over long timehorizons because of the uncertainties associated with future changes in the climate As a result adaptation of an economic activity requires a proportionate flexible and an iterative risk management approach that can be adjusted over time The second set of economic activities contribute to adaptation via enabling the adaptation of other economic activities For example the construction of a flood protection system is performed to reduce the risk of flood for a facility or a city and the economic activities that take place in it Similarly the research
41,development and commercialisation of droughtresistant crop varieties will help ensure crop production yields despite increased risk of droughts Solutions that support adapted activities and economic activities enabling adaptation are clearly linked and may overlap However the distinction between these two types of adaptation activities can guide different user types Adapting an economic activity captures the solutions required by actors to increase their own resilience whilst enabling activities capture the research development marketing and installation of solutions that will help other entities to adapt For example a water utility vulnerable to increased risk of floods may adopt early warning systems to reduce this risk and this would count as part of the programme of solutions that entity is taking to ensure their activity is adapted to climate change ie part of their response to adapting that economic activity However a small or mediumsized enterprise SME developing the technology for flood early warning systems to support adaptation of other sectors including by the water utility company This activity of the technology developer is therefore counted as enabling adaptation This example is illustrated in Figure 8 below Taxonomy users
42,Some of the economic activities currently addressed in the Taxonomy might often fall under the category of adapted activities others might be activities enabling adaptation There will be activities that can be either type depending on their purpose and the context within which the activity takes place What is key is the primary objective of the actor engaged in that activity For this reason the economic activities are not a priori categorised into Adapted activity andor Activity enabling adaptation this is left to the discretion of the user
43,For example Conservation Forestry could be deemed to be an activity enabling adaptation if the primary objective of the conservation activity is to support the adaptation of other economic activities or actors eg to prevent soil erosion damaging agricultural production or threatening local settlements or water supplies Conversely Conservation Forestry where the primary purpose is to promote biodiversity may be treated as an adapted activity if they are at the same time ensuring that those forests are resilient to climate change risks This is a difficult line to drawn given the interrelationships and cobenefits between these objectives In such cases users are asked to identify and justify whether their activity should be viewed as an adapted activity or an activity enabling adaptation of other economic activities and meet the appropriate criteria accordingly Alternatively construction of a new building NACE code F41 or F43 could be deemed to be an activity enabling adaptation if the building is specifically purposed for adaptation and resilience eg shelters or safe buildings for evacuation from floodingtyphoons This is not unusual in countries like Bangladesh and the Philippines though not common practice in Europe But where not specifically purposed construction of a new building would only make a substantial contribution to adaptation via becoming an adapted activity Guiding principles for substantial contributions to climate change adaptation The TEG proposes the following guiding principles to identify an economic activity that substantially contributes to climate change adaptation Principle 1 The economic activity reduces all material physical climate risks to the extent possible and on a best effort basis
44,In the case of an adapted economic activity the activity integrates measures aimed at reducing all material physical climate risks to that activity as identified through an assessment of risks posed by both current weather variability and expected future climate change The assessment should take into account chronic and acute climaterelated hazards and associated physical climate risks across a range of scenarios and account for uncertainty It should consider geographic and temporal scales that are appropriate for the economic activity
45,In the case of an economic activity enabling adaptation the activity reduces material risks to other economic activities andor addresses systemic barriers to adaptation for example through a dedicated asset technology service or product and itself integrates measures aimed at reducing material risks where applicable eg in the case of a dedicated asset
46,Economic activities and the measures taken to address the material climate risks facing those activities should be consistent with adaptation needs in the applicable sector or region considering opportunities to build resilience outside of the premises of a single activity Those measures should also not increase the risk of an adverse impact on other people nature and assets in terms of hindering adaptation efforts by others for example by shifting impacts faced by others
47,When possible the outcomes of adaptation activities should be monitored and measured against defined indicators for adaptation results If possible updated assessments of physical climate risks should be undertaken at the appropriate frequency eg every five or ten years depending on the risks the context and the availability of new information technologies or approaches or policies and regulations
48,23 Screening criteria for activities making a substantial contribution to adaptation While the principles describe the foundations and qualities underpinning economic activities that contribute to climate change adaptation the screening criteria are specific characteristics that can be used to determine whether an economic activity provides a substantial contribution to adaptation These screening criteria vary between adapted activities and activities that enable adaptation These criteria have been updated since the June 2019 report Screening criteria for adapted activities an economic activity Table 3 Screening criteria for substantial contribution adapted activities
49,The economic activity integrates physical and nonphysical measures aimed at reducing  to the extent possible and on a best effort basis all material physical climate risks to that activity which have been identified through a risk assessment
50,The economic activity and its adaptation measures do not adversely affect the adaptation efforts of other people nature and assets The economic activity and its adaptation measures do not increase the risks of an adverse climate impact on other people nature and
51,Adaptation results can be monitored and measured against defined indicators Recognising that risk evolves over time updated assessments of physical climate risks should be undertaken at the appropriate frequency where possible
52,Screening criteria for an activity enabling adaptation The table below describes the screening criteria for economic activities enabling adaptation Table 4 Screening criteria for substantial contribution economic activities enabling adaptation
53,The economic activity reduces material physical climate risk in other economic activities andor addresses systemic barriers to adaptation Activities enabling adaptation include but are not limited to activities that a Promote a technology product practice governance process or innovative uses of existing technologies products or practices including those related to natural infrastructure or b Remove information financial technological and capacity barriers to adaptation by others B11
54,The economic activity reduces or facilitates adaptation to physical climate risks beyond the boundaries of the activity itself The activity will need to demonstrate how it supports adaptation of others through
55,an assessment of the risks resulting from both current weather variability and future climate change including uncertainty that the economic activity will contribute to address based on robust climate data
56,The TEG recommends that the Platform as a matter of priority develops technical guidance on climate risk assessment use of climate data and information making decisions under uncertainties and evaluation of different adaptation options to aid the implementation of the taxonomy
57,In the case of an economic activity enabling adaptation the revenue andor expenditure associated with the economic activity that meets the relevant screening criteria is considered as eligible In the case of an adapted economic activity at this time only the costs of adaptation can be counted not the revenues and or expenditure associated with the whole activity This is because adaptation of an economic activity is delivered in activities that have primary objectives other than adaptation for example adaptation of an electricity transmission line to increased risk of flood When those activities are adapted to cope with physical climate risk they contribute to the climate resilience of the entire highly integrated and interconnected economic system and as a result deliver a global benefit through aggregated adaptation in all sectors of an economy However methodologies tools and metrics to measure these climate resilience benefits remain under development These technical limitations mean that counting only the costs of adaptation of the economic activity is the most viable conservative option today In some circumstances investments required to adapt an economy activity may be large and implemented in phases as part of an adaptation plan which has been developed in response to a climate risk assessment In these circumstances investments in measures included in a full programme of actions that collectively reduce the material physical climate risks to the economic activity can be counted in phases even if the whole adaptation plan has not been executed It is expected that the full programme of measures would be executed over a period of time no longer than 5 years It is proposed that as a matter of priority the Platform undertake further work to develop approaches for measuring the climate resilience benefits of adapted economic activities This is a key step in moving towards recognising all revenue andor expenditure associated with an economic activity that is adapted to cope with physical climate risk and yields high climate resilience benefits
58,The TEG has developed a classification of climaterelated hazards When developing the Taxonomy the climaterelated hazards considered are limited to the potential occurrence of a weather and climaterelated natural physical event or trend12 The climaterelated hazard classification comprises four major hazard groups with hazards related to water temperature wind and massmovements All groups include acute extreme and chronic slowonset hazards as adaptation must account for both rapid as well as gradual changes in the weather and climate to take the appropriate adaptation measures and avoid maladaptation13 This analysis focusses on the most important or significant hazards and is designed to guide the user to consider the most salient physical risks when mapping the sensitivities of a given sector All secondary hazards14 resulting from climaterelated hazards including but not limited to chemical biological ecological and epidemiological hazards are excluded It is however advisable to assess the risk of such secondary hazards and consider measures to address them for each economic activity
59,12 IPCC 2014 Climate Change 2014 Synthesis Report Contribution of Working Groups I II and III to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change Core Writing Team RK Pachauri and LA Meyer eds IPCC Geneva Switzerland 151 pp httpswwwipccchsiteassetsuploads201802SYR_AR5_FINAL_fullpdf last visit 02042019 13 There are clearly linkages with disaster risk reduction in the effort of reducing physical climate risks resulting from extreme climaterelated hazards Geophysical and technological hazards are outside the domain of adaptation to climate change 14 As an example new biological pests or increased prevalence of existing pests can result from changing temperatures Forests and agriculture are typically sensitive to warmer minimum temperatures and in this example their effects on pests In this case the changing prevalence of pests is a secondary hazard against which adaptation measures may be needed
60,Under the proposed Taxonomy regulation economic activities making a substantial contribution to climate change mitigation or adaptation must be assessed to ensure they do not cause significant harm to all remaining environmental objectives An activity contributing to climate change mitigation must avoid significant harm to climate change adaptation and the other four environmental objectives 3 4 5 6
61,This assessment ensures that progress against some objectives are not made at the expense of others and recognises the reinforcing relationships between different environmental objectives In its future development the Taxonomy will also include activities that make a substantial contribution to the above objectives
62,Per Article 12 of the Taxonomy regulation an economic activity shall be considered as significantly harming climate change adaptation where that activity leads to an increased adverse impact of the current and expected climate on itself or for other people nature and assets In terms of what constitutes or leads to an increased negative effect of climate by an economic activity for and beyond the environment within which that economy activity takes place it is proposed that the DNSH to adaptation criteria should ensure that both
63,The services that economic activities vulnerable populations vulnerable ecosystems rely on need to be resilient to climate change If they are not and those services are significantly curtailed due to climate change impacts the resilience and ability to adapt of those activities populations ecosystems is weakened This can be achieved by ensuring that all material risks to the economic activity itself have been reduced to the extent possible and on a best effort basis
64,Discussion was had on whether compliance with these requirements should be determined on a casebycase basis through an activity and context specific assessment or whether an apriori activity only level assessment is needed As discussed above adaptation needs and impacts of activities on adaptation and resilience are context specific and therefore a context specific assessment is needed For these reasons the two criteria described in Table 6 are proposed for DNSH to adaptation for all economic activities In addition to these criteria the TEG has considered where there are any examples of tools methodology or other guidance that might be of use in applying these two criteria in the context of a specific economic activity Where such examples have been identified they have been noted in the DNSH to Adaptation section of the appropriate economic activity It is noted that for new economic activities the following criteria must be met at the point of design and construction For existing activities and associated assets where addressing physical climate risks requires a retrofit of some kind all material physical climate risks must be assessed and adaptation measures required to address them must be identified and programmed with a clear and time limited execution plan no longer than 5 years Table 6  Do no significant harm to adaptation adapted economic activities
65,The activity integrates physical and nonphysical measures aimed at reducing to the extent possible and on a best effort basis  all material risks that have been identified through a climate risk assessment For existing activities the implementation of those physical and nonphysical measures may be phased and executed over a period of time of up to 5 years For new activities implementation of these measures must be met at the time of design and construction
66,The economic activity and its adaptation measures do not increase the risks of an adverse climate impact on other people nature and assets or hamper adaptation elsewhere Consideration should be given to the viability of green or naturebasedsolutions over grey measures to address adaptation
67,In accordance with Article 14 of the Taxonomy proposal the DNSH criteria aim to specify the minimum requirements to be met to avoid significant harm to environmental objectives relevant to each economic activity Article 12 provides further details on what constitutes significant harm for each environmental objective Table 7  Do no significant harm criteria environmental objectives 36
68,where that activity is detrimental to the good status or where relevant the good ecological potential of water bodies including surface waters and groundwaters or to the good environmental status of marine waters
69,where that activity leads to significant inefficiencies in the use of materials and the direct or indirect use of natural resources such as nonrenewable energy sources raw materials water and land in one or more stages of the lifecycle of products including in terms of durability reparability upgradability reusability or recyclability of products or where that activity leads to a significant increase in the generation incineration or disposal of waste with the exception of incineration of nonrecyclable hazardous waste or where the long term disposal of waste may cause significant and longterm harm to the environment
70,where that activity is detrimental to a significant extent to the good condition and resilience of ecosystems or where that activity is detrimental to the conservation status of habitats and species including those of Community interest
71,In addition the regulation specifies that for all objectives the environmental impacts of the activity itself as well as of the products and services provided by that activity throughout their life cycle shall be taken into account notably by considering their production use and endof life The technical screening criteria proposed by the TEG contain quantitative thresholds where possible Where this is not possible the criteria are qualitative describing an action or set of actions to be demonstrated which avoid significant harm The baseline scenario for the economic activities is compliance with relevant EU environmental legislation To this end the criteria take into account existing EU legislation The call for additional expertise to inform the TEG and the process described below enabled the establishment of criteria based on available scientific evidence Where evidence was not conclusive the precautionary principle enshrined in article 191 TFEU was taken into account as required in Article 14 of the draft regulation To the extent possible the screening criteria whether qualitative or quantitative were selected to facilitate the verification of compliance In many instances the proposed criteria are expressed in terms of compliance with relevant EU legislation andor associated reference information such as the best available techniques BAT reference documents also known as BREFs 15 The technical screening criteria TSC process Figure 9 presents an overview of the process for development of DNSH technical screening criteria against activities expected to make a substantial contribution to climate change mitigation For each activity the scope was reviewed to identify life cycle aspects and activity boundaries Where linkages with other activities occurred ie where life cycle aspects overlapped with other activities this has been referenced in the analysis 1
